50
12
60
5586.59
1.62 360
1.80 360
1.99 360
2.13 360
2.38 360
2.62 360
5.12 360
7.22 360
2.63 360
2.88 360
4.18 360
4.59 360
4.80 360
4.97 360
5.12 360
3.84 360
3.87 360
2.93 360
3.09 360
3.13 360
3.38 360
3.47 360
16.0 360
19.9 360
3.55 360
3.63 360
5.74 360
3.84 360
22.0 360
22.9 360
26.5 360
30.0 360
3.47 360
16.0 360
19.9 360
3.55 360
3.63 360
3.84 360
3.87 360
3.87 360
3.88 360
4.18 360
4.22 360
4.49 360
4.59 360
4.80 360
4.97 360
5.12 360
5.74 360
7.22 360
7.97 360
11.5 360
13.5 360
13.9 360
3.47 360
3.84 360
15.5 360
16.0 360
16.9 360
18.8 360
19.9 360
3.88 360
33.5 360
3.47 360$
